epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1322.6,0.76454,0.98057,0.54578,0.95485,0.59087,0.73127,0.71691,0.4296,0.61346,0.77369,0.75975,0.38468,1.45727,1.80714,1.06941,1.46074,0.000726312,0.000726312,0.000726312
116,1332.58,0.70326,0.97529,0.53759,0.9313,0.7301,0.56872,0.70009,0.4399,0.75491,0.58428,0.73415,0.37662,1.49932,1.83154,1.05563,1.54166,0.00071806,0.00071806,0.00071806
117,1342.69,0.72662,0.95031,0.5133,0.93973,0.57559,0.74047,0.7071,0.42305,0.59428,0.74675,0.72524,0.35465,1.43754,1.65525,1.05836,1.48392,0.000709809,0.000709809,0.000709809
118,1352.38,0.69801,0.91541,0.49551,0.93633,0.62382,0.73417,0.71106,0.45428,0.66999,0.79373,0.77599,0.40606,1.37113,1.6685,0.97705,1.453,0.000701557,0.000701557,0.000701557
119,1362.63,0.71922,0.92419,0.51761,0.93884,0.78631,0.65963,0.74323,0.4659,0.84538,0.70148,0.80273,0.41984,1.49206,1.76008,1.09597,1.5391,0.000693305,0.000693305,0.000693305
120,1373.37,0.7085,0.91729,0.51596,0.94586,0.6854,0.68052,0.71794,0.45536,0.78445,0.69053,0.76599,0.40047,1.43316,1.60924,0.9943,1.45838,0.000685054,0.000685054,0.000685054
121,1383.37,0.75005,0.98943,0.5253,0.947,0.70254,0.70538,0.74196,0.4645,0.74193,0.74834,0.78323,0.40393,1.37176,1.65655,1.05092,1.37297,0.000676802,0.000676802,0.000676802
122,1392.85,0.70205,0.93759,0.50123,0.92435,0.78729,0.65336,0.75213,0.45482,0.80165,0.66183,0.77784,0.39842,1.38603,1.66161,1.06584,1.405,0.00066855,0.00066855,0.00066855
123,1403.26,0.71087,0.94745,0.52384,0.94221,0.81046,0.64459,0.73914,0.43953,0.82612,0.65306,0.77212,0.39798,1.42685,1.6752,1.0216,1.47096,0.000660299,0.000660299,0.000660299
124,1413.74,0.70035,0.96796,0.50242,0.9475,0.69605,0.71385,0.73614,0.45095,0.70607,0.72232,0.75046,0.40309,1.40102,1.64525,1.07287,1.387,0.000652047,0.000652047,0.000652047
